,Real price,DNN 1,DNN 2,DNN 3,DNN 4,DNN Ensemble,LEAR 56,LEAR 84,LEAR 1092,LEAR 1456,LEAR Ensemble
2016-01-04 00:00:00,13.78,9.079984664916992,12.374814987182615,10.602676391601562,10.600305557250977,10.664445400238037,13.0329,11.8312,9.3073,7.2452,10.35415
2016-01-04 01:00:00,12.77,6.14238166809082,10.737262725830078,7.159198760986327,7.956757068634032,7.998900055885315,10.6372,8.0028,6.1668,4.1847,7.247875
2016-01-04 02:00:00,10.56,3.542736053466797,9.347173690795898,5.593656539916992,6.4043731689453125,6.22198486328125,8.9095,10.4478,3.6748,2.6996,6.432925
2016-01-04 03:00:00,3.87,3.4843978881835938,8.97688102722168,4.708005905151367,6.429433822631836,5.899679660797119,8.2185,8.9046,3.0388,2.7848,5.736675
2016-01-04 04:00:00,3.2,4.640604019165039,10.229042053222656,4.688287734985352,7.726181030273437,6.821028709411621,8.487,9.8111,1.9,2.4542,5.663075
2016-01-04 05:00:00,8.67,8.503158569335938,11.412591934204102,8.465173721313478,13.462302207946776,10.460806608200073,12.634,13.103,7.6735,8.774,10.546125
2016-01-04 06:00:00,18.01,17.22218132019043,17.273317337036133,16.609434127807614,19.68414688110352,17.697269916534424,16.3974,18.6657,19.1124,20.5084,18.670975
2016-01-04 07:00:00,28.52,22.23139762878418,22.35309600830078,23.92016220092773,26.495737075805664,23.75009822845459,22.2878,24.4883,24.0769,24.5222,23.8438
2016-01-04 08:00:00,34.74,24.81208229064941,25.6024169921875,27.54850006103516,27.98525238037109,26.48706293106079,25.5736,28.1957,26.3207,25.5925,26.420625
2016-01-04 09:00:00,33.46,28.232501983642575,25.512874603271484,27.39037895202637,28.28823089599609,27.35599660873413,26.1817,28.4356,27.0997,25.4735,26.797625
2016-01-04 10:00:00,33.24,28.324810028076172,25.568443298339844,29.440763473510746,29.377426147460934,28.177860736846924,27.5773,29.5901,27.0467,27.6202,27.958575
2016-01-04 11:00:00,35.09,31.43061828613281,27.09512710571289,31.6425895690918,30.719806671142575,30.22203540802002,29.0469,31.2014,30.0447,30.4041,30.174275
2016-01-04 12:00:00,35.0,32.26092529296875,28.89289855957031,32.482528686523445,31.3476619720459,31.2460036277771,29.5618,30.1657,32.278,32.9391,31.23615
2016-01-04 13:00:00,35.0,31.23134994506836,31.25022315979004,33.14487838745117,32.347061157226555,31.993378162384033,29.3804,30.1135,33.0257,33.2069,31.431625
2016-01-04 14:00:00,34.94,34.39439010620117,33.44858169555664,34.82825088500977,32.71907424926758,33.84757423400879,29.7924,30.7223,33.5771,33.6084,31.92505
2016-01-04 15:00:00,34.92,37.17008972167969,35.786075592041016,36.4088249206543,34.25008773803711,35.90376949310303,29.6412,31.6078,34.9602,34.8043,32.753375
2016-01-04 16:00:00,38.0,39.07273864746094,39.90748596191406,38.78236770629883,37.74639892578125,38.87724781036377,33.4053,33.616,36.9106,36.4619,35.09845
